,ticker,data,abertura,maximo,minimo,medio,fechamento,volume
2029,RSUL4,2023-08-14,58.85196508,59.91315023,58.49174627,58.94932152,59.91315023,102951.0
2030,RSUL4,2023-08-15,59.38742548,60.25389775,58.92985023,59.67949478,60.25389775,49046.0
2031,RSUL4,2023-08-16,60.35125418,60.52649577,59.5724027,59.78658686,59.5724027,178113.0
2032,RSUL4,2023-08-17,59.76711557,60.28310468,59.01747102,59.35821855,59.01747102,152428.0
2033,RSUL4,2023-08-18,59.38742548,60.07865617,59.1245631,59.69896607,60.07865617,147172.0
2034,RSUL4,2023-08-21,59.87420765,60.22469082,59.40689676,59.84500072,59.40689676,98359.0
2035,RSUL4,2023-08-22,59.45557498,61.19825517,59.43610369,60.40966805,60.82830072,161343.0
2036,RSUL4,2023-08-23,60.89645022,60.89645022,59.38742548,60.09812745,60.3317829,697620.0
2037,RSUL4,2023-08-24,60.34151854,60.64332349,60.34151854,60.38046111,60.36098983,105449.0
2038,RSUL4,2023-08-25,60.26363339,60.97433537,59.9520928,60.47781755,60.847772,149105.0
2039,RSUL4,2023-08-28,60.40966805,60.847772,60.36098983,60.51676012,60.847772,285953.0
2040,RSUL4,2023-08-29,60.29284032,61.79212943,60.26363339,61.2274621,61.78239378,144663.0
2041,RSUL4,2023-08-30,62.57098091,62.57098091,61.05222052,61.65583042,61.05222052,94997.0
2042,RSUL4,2023-08-31,62.48336012,62.48336012,60.35125418,60.76015121,60.75041557,380703.0
2043,RSUL4,2023-09-01,60.45834626,62.30811853,60.45834626,61.36376111,61.82133636,195402.0
2044,RSUL4,2023-09-04,61.97710665,61.97710665,61.47085319,61.71424428,61.82133636,139476.0
2045,RSUL4,2023-09-05,61.81160071,62.60018784,61.33455418,61.58768091,61.33455418,151832.0
2046,RSUL4,2023-09-06,61.40270368,61.93816408,61.32481854,61.43191062,61.32481854,119907.0
2047,RSUL4,2023-09-08,62.30811853,62.30811853,61.33455418,62.07446309,62.30811853,82900.0
2048,RSUL4,2023-09-11,62.8825215,62.8825215,61.91869279,62.29838289,62.5028314,166389.0
2049,RSUL4,2023-09-12,62.2107621,62.57098091,61.82133636,62.25944031,62.30811853,351729.0
2050,RSUL4,2023-09-13,62.29838289,62.42494625,61.86027893,62.23023338,62.30811853,204559.0
2051,RSUL4,2023-09-14,62.29838289,62.5028314,62.29838289,62.35679675,62.5028314,211379.0
2052,RSUL4,2023-09-15,62.30811853,64.06053437,62.12314131,62.6586017,64.06053437,148030.0
2053,RSUL4,2023-09-18,64.23577595,65.03409872,63.94370664,64.52784525,65.03409872,66283.0
2054,RSUL4,2023-09-19,65.52088089,66.42629574,65.09251258,65.49167396,65.61823733,121097.0
2055,RSUL4,2023-09-20,65.22881159,65.71559376,64.83938585,65.44299575,65.71559376,282339.0
2056,RSUL4,2023-09-21,65.71559376,65.71559376,63.28168288,64.48890268,65.22881159,304711.0
2057,RSUL4,2023-09-22,63.4861314,65.53061654,63.4861314,65.00489179,65.37484624,273767.0
2058,RSUL4,2023-09-25,65.22881159,66.05634129,65.22881159,65.50140961,65.94924921,127838.0
2059,RSUL4,2023-09-26,65.94924921,67.17594029,65.94924921,66.43603138,67.17594029,40944.0
2060,RSUL4,2023-09-27,65.24828288,67.5361591,65.24828288,66.76704326,67.17594029,301771.0
2061,RSUL4,2023-09-28,68.44157395,69.17174721,67.76981455,68.52919474,68.73364326,366052.0
2062,RSUL4,2023-09-29,70.09663335,71.45962344,62.07446309,63.85608585,62.07446309,163980.0
2063,RSUL4,2023-10-02,65.22881159,68.03267692,64.80044327,66.16343337,66.44576703,197109.0
2064,RSUL4,2023-10-03,67.17594029,67.3122393,65.64744426,66.17316901,66.20237594,169944.0
2065,RSUL4,2023-10-04,65.13145515,65.71559376,65.03409872,65.45273139,65.71559376,235338.0
2066,RSUL4,2023-10-05,65.22881159,66.67942247,65.13145515,65.49167396,65.41378882,168178.0
2067,RSUL4,2023-10-06,65.29696109,66.20237594,65.00489179,65.57929475,66.20237594,303150.0
2068,RSUL4,2023-10-09,68.14950464,70.0868977,66.4847096,68.3636888,70.0868977,91297.0
2069,RSUL4,2023-10-10,70.09663335,71.0701977,70.09663335,70.58341552,70.72945018,159502.0
2070,RSUL4,2023-10-11,71.0701977,71.93666997,69.60985117,70.88522047,71.93666997,196588.0
2071,RSUL4,2023-10-13,71.99508384,72.82261353,67.17594029,72.14111849,72.82261353,125973.0
2072,RSUL4,2023-10-16,71.78089968,72.0534977,71.65433631,71.93666997,72.0534977,118238.0
2073,RSUL4,2023-10-17,72.10217591,72.90049868,72.04376205,72.40398086,72.90049868,200801.0
2074,RSUL4,2023-10-18,71.94640562,72.03402641,71.31358879,71.77116403,72.03402641,184314.0
2075,RSUL4,2023-10-19,72.13138284,72.90049868,71.0701977,71.84904918,72.90049868,265682.0
2076,RSUL4,2023-10-20,71.94640562,73.0173264,71.55697988,72.31636007,73.0173264,170854.0
2077,RSUL4,2023-10-23,72.62790066,73.88379868,72.54027987,73.22177492,73.88379868,361031.0
2078,RSUL4,2023-10-24,73.03679769,73.88379868,72.53054423,73.36780957,73.88379868,316543.0
2079,RSUL4,2023-10-25,73.0173264,74.84762739,73.0173264,74.07851155,74.84762739,121750.0
2080,RSUL4,2023-10-26,74.84762739,75.62647887,73.21203928,74.78921353,75.44150164,122925.0
2081,RSUL4,2023-10-27,75.80172045,75.80172045,74.01036204,74.76000659,74.90604125,345598.0
2082,RSUL4,2023-10-30,75.79198481,75.79198481,74.95471947,75.04234026,74.96445511,92500.0
2083,RSUL4,2023-10-31,74.81842046,76.90184817,72.62790066,75.62647887,76.90184817,737975.0
2084,RSUL4,2023-11-01,76.96026203,76.96026203,75.54859372,76.09378976,75.92828382,62535.0
2085,RSUL4,2023-11-03,76.88237688,76.88237688,76.88237688,76.88237688,76.88237688,134249.0
